title,summary,alternative_names
Aging changes in skin,Aging changes in the skin are a group of common conditions and developments that occur as people grow older.,Wrinkles - aging changes; Thinning of skin
Aging changes in sleep,"Sleep normally occurs in several stages. The sleep cycle includes:Dreamless periods of light and deep sleepSome periods of active dreaming (REM sleep) The sleep cycle is repeated several times during the night.AGING CHANGESSleep patterns tend to change as you age. Most people find that aging causes them to have a harder time falling asleep. They wake up more often during the night and earlier in the morning.Total sleep time stays the same or is slightly decreased (6.5 to 7 hours per night). It may be harder to fall asleep and you may spend more total time in bed. The transition between sleep and waking up is often abrupt, which makes older people feel like they are a lighter sleeper than when they were younger.Less time is spent in deep, dreamless sleep. Older people wake up an average of 3 or 4 times each night. They are also more aware of being awake.Older people wake up more often because they spend less time deep sleep. Other causes include needing to get up and urinate (nocturia), anxiety, and discomfort or pain from long-term (chronic) illnesses.EFFECT OF CHANGESSleep difficulty is an annoying problem. Long-term (chronic) insomnia is a major cause of auto accidents and depression. Because older people sleep more lightly and wake up more often, they may feel deprived of sleep even when their total sleep time has not changed.Sleep deprivation can eventually cause confusion and other mental changes. It is treatable, though. You can reduce symptoms when you get enough sleep.Sleep problems are also a common symptom of depression. See a health care provider to find out whether depression or another health condition is affecting your sleep.COMMON PROBLEMSInsomnia is one of the more common sleep problems in older people.Other sleep disorders, such as restless legs syndrome, narcolepsy, or hypersomnia can also occur.Sleep apnea, a condition where breathing stops for a time during sleep, can cause severe problems. PREVENTIONOlder people respond differently to medicines than do younger adults. It is very important to talk with your provider before taking sleep medicines. If possible, avoid sleep medicines. However, antidepressant medicines can be very helpful if depression affects your sleep. Some antidepressants do not cause the same side effects as sleep medicines.Sometimes, a mild antihistamine works better than a sleeping pill for relieving short-term insomnia. However, most health experts do not recommend these types of medicines for older people.Use sleep medicines (such as zolpidem, zaleplon, eszoplicone or benzodiazepines) only as recommended, and only for a short time. Some of these medicines can lead to dependence (needing to take the drug to function) or addiction (compulsive use despite adverse consequences). Some of these drugs build up in your body. You can develop toxic effects such as confusion, delirium, and falls if you take them for a long time.You can take measures to help you sleep:A light bedtime snack may be helpful. Many people find that warm milk increases sleepiness, because it contains a natural, sedative-like amino acid.Avoid stimulants such as caffeine (found in coffee, tea, cola drinks, and chocolate) for at least 3 or 4 hours before bed.Do not take naps during the day.Exercise at regular times each day, but not within 3 hours of your bedtime.Avoid too much stimulation, such as violent TV shows or computer games, before sleep. Practice relaxation techniques at bedtime.Do not watch television or use your computer, cell phone, or tablet in the bedroom.Try to go to bed at the same time every night and wake at the same time each morning.Use the bed only for sleep or sexual activity.Avoid tobacco products, especially before sleep.Ask your provider if any of the medicines you take may affect your sleep. If you cannot fall asleep after 20 minutes, get out of bed and do a quiet activity, such as reading or listening to music.When you feel sleepy, get back in bed and try again. If you still cannot fall asleep in 20 minutes, repeat the process.Drinking alcohol at bedtime may make you sleepy. However, it is best to avoid alcohol, because it can make you wake up later in the night.RELATED TOPICSAging changes in the nervous systemInsomnia",
Aging changes in teeth and gums,"Aging changes occur in all of the body's cells, tissues, and organs. These changes affect all parts of the body, including the teeth and gums. Certain health conditions that are more common in older adults taking certain medicines can also affect oral health. Learn what you can do to keep your teeth and gums healthy in your later years.",Dental hygiene - aging; Teeth - aging; Oral hygiene - aging
Aging changes in the bones - muscles - joints,"Changes in posture and gait (walking pattern) are common with aging.The skeleton provides support and structure to the body. Joints are the areas where bones come together. They allow the skeleton to be flexible for movement. In a joint, bones do not directly contact each other. Instead, they are cushioned by cartilage in the joint, synovial membranes around the joint, and fluid.Muscles provide the force and strength to move the body. Coordination is directed by the brain, but is affected by changes in the muscles and joints. Changes in the muscles, joints, and bones affect the posture and walk, and lead to weakness and slowed movement.AGING CHANGESPeople lose bone mass or density as they age, especially women after menopause. The bones lose calcium and other minerals.The spine is made up of bones called vertebrae. Between each bone is a gel-like cushion (called a disk). With aging, the middle of the body (trunk) becomes shorter as the disks gradually lose fluid and become thinner.Vertebrae also lose some of their mineral content, making each bone thinner. The spinal column becomes curved and compressed (packed together). Bone spurs caused by aging and overall use of the spine may also form on the vertebrae.The foot arches become less pronounced, contributing to a slight loss of height.The long bones of the arms and legs are more brittle because of mineral loss, but they do not change length. This makes the arms and legs look longer when compared with the shortened trunk.The joints become stiffer and less flexible. Fluid in the joints may decrease. The cartilage may begin to rub together and wear away. Minerals may deposit in and around some joints (calcification). This is common around the shoulder.Hip and knee joints may begin to lose cartilage (degenerative changes). The finger joints lose cartilage and the bones thicken slightly. Finger joint changes, most often bony swelling called osteophytes, are more common in women. These changes may be inherited.Lean body mass decreases. This decrease is partly caused by a loss of muscle tissue (atrophy). The speed and amount of muscle changes seem to be caused by genes. Muscle changes often begin in the 20s in men and in the 40s in women.Lipofuscin (an age-related pigment) and fat are deposited in muscle tissue. The muscle fibers shrink. Muscle tissue is replaced more slowly. Lost muscle tissue may be replaced with a tough fibrous tissue. This is most noticeable in the hands, which may look thin and bony.Muscles are less toned and less able to contract because of changes in the muscle tissue and normal aging changes in the nervous system. Muscles may become rigid with age and may lose tone, even with regular exercise.EFFECT OF CHANGESBones become more brittle and may break more easily. Overall height decreases, mainly because the trunk and spine shorten.Breakdown of the joints may lead to inflammation, pain, stiffness, and deformity. Joint changes affect almost all older people. These changes range from minor stiffness to severe arthritis.The posture may become more stooped (bent). The knees and hips may become more flexed. The neck may tilt, and the shoulders may narrow while the pelvis becomes wider.Movement slows and may become limited. The walking pattern (gait) becomes slower and shorter. Walking may become unsteady, and there is less arm swinging. Older people get tired more easily and have less energy.Strength and endurance change. Loss of muscle mass reduces strength.COMMON PROBLEMSOsteoporosis is a common problem, especially for older women. Bones break more easily. Compression fractures of the vertebrae can cause pain and reduce mobility.Muscle weakness contributes to fatigue, weakness, and reduced activity tolerance. Joint problems ranging from mild stiffness to debilitating arthritis (osteoarthritis) are very common.The risk of injury increases because gait changes, instability, and loss of balance may lead to falls.Some older people have reduced reflexes. This is most often caused by changes in the muscles and tendons, rather than changes in the nerves. Decreased knee jerk or ankle jerk reflexes can occur. Some changes, such as a positive Babinski reflex, are not a normal part of aging.Involuntary movements (muscle tremors and fine movements called fasciculations) are more common in the older people. Older people who are not active may have weakness or abnormal sensations (paresthesias).People who are unable to move on their own, or who do not stretch their muscles with exercise, may get muscle contractures.PREVENTIONExercise is one of the best ways to slow or prevent problems with the muscles, joints, and bones. A moderate exercise program can help you maintain strength, balance, and flexibility. Exercise helps the bones stay strong.Talk to your health care provider before starting a new exercise program.It is important to eat a well-balanced diet with plenty of calcium. Women need to be particularly careful to get enough calcium and vitamin D as they age. Postmenopausal women and men over age 70 should take in 1,200 mg of calcium per day. Women and men over age 70 should get 800 international units (IU) of vitamin D daily. If you have osteoporosis, talk to your provider about prescription treatments.RELATED TOPICSAging changes in body shapeAging changes in hormone productionAging changes in organs, tissues, and cellsAging changes in the nervous systemCalcium in dietOsteoporosis",
Aging changes in the breast,"With age, a woman's breasts lose fat, tissue, and mammary glands. Many of these changes are due to the decrease in the body's production of estrogen that occurs at menopause. Without estrogen, the gland tissue shrinks, making the breasts smaller and less full. The connective tissue that supports the breasts becomes less elastic, so the breasts sag.Changes also occur in the nipple. The area surrounding the nipple (the areola) becomes smaller and may nearly disappear. The nipple may also turn in slightly.Breast lumps are common around the time of menopause. These are usually noncancerous cysts. However, if you notice a lump, make an appointment with your health care provider, because breast cancer risk increases with age. Women should be aware of the benefits and limitations of breast self-exams. These exams do not always pick up early stages of breast cancer. Women should talk to their providers about regular physical examinations and mammogram to screen for breast cancer.",
Aging changes in the face,"The appearance of the face and neck typically changes with age. Loss of muscle tone and thinning skin gives the face a flabby or drooping appearance. In some people, sagging jowls may create the look of a double chin. Your skin also dries out and the underlying layer of fat shrinks so that your face no longer has a plump, smooth surface. To some extent, wrinkles cannot be avoided. However, sun exposure and cigarette smoking are likely to make them develop more quickly. The number and size of blotches and dark spots on the face increase as well. These pigment changes are largely due to sun exposure. Missing teeth and receding gums change the appearance of the mouth, so your lips may look shrunken. Loss of bone mass in the jaw reduces the size of the lower face and makes your forehead, nose, and mouth more pronounced. Your nose may also lengthen slightly.The ears may lengthen in some people (probably caused by cartilage growth). Men may develop hair in their ears that becomes longer, coarser, and more noticeable as they age. Ear wax becomes drier because there are fewer wax glands in the ears and they produce less oil. The hardened ear wax can block the ear canal and affect your ability to hear. Eyebrows and eyelashes turn gray. As in other parts of the face, the skin around the eyes gets wrinkles, creating crow's feet at the side of the eyes.Fat from the eyelids settles into the eye sockets. This can make your eyes look sunken. The lower eyelids can slacken and bags can develop under your eyes. Weakening of the muscle that supports the upper eyelid can make the eyelids droop. This may limit vision.The outer surface of the eye (cornea) may develop a grayish-white ring. The colored portion of the eye (iris) loses pigment, making most very older people appear to have gray or light blue eyes.",
Aging changes in the female reproductive system,"Aging changes in the female reproductive system result mainly from changing hormone levels. One clear sign of aging occurs when your menstrual periods stop permanently. This is known as menopause.The time before menopause is called perimenopause. It may begin several years before your last menstrual period. Signs of perimenopause include:More frequent periods at first, and then occasional missed periodsPeriods that are longer or shorterChanges in the amount of menstrual flowEventually your periods will become much less frequent, until they stop completely.Along with changes in your periods, physical changes in your reproductive tract occur as well.AGING CHANGES AND THEIR EFFECTSMenopause is a normal part of a woman's aging process. Most women experience menopause around age 50, though it can occur before that age. The usual age range is 45 to 55.With menopause:The ovaries stop making the hormones estrogen and progesterone.The ovaries also stop releasing eggs (ova, oocytes). After menopause, you can no longer become pregnant.Your menstrual periods stop. You know you have gone through menopause after you have had no periods for 1 year. You should continue to use a birth control method until you have gone a whole year without a period. Any bleeding that occurs more than 1 year after your last period is not normal and should be checked by your health care provider.As hormone levels fall, other changes occur in the reproductive system, including:Vaginal walls become thinner, dryer, less elastic, and possibly irritated. Sometimes sex becomes painful due to these vaginal changes.Your risk for vaginal yeast infections increases.The external genital tissue decreases and thins, and can become irritated.Other common changes include:Menopause symptoms such as hot flashes, moodiness, headaches, and trouble sleeping, which can persist for yearsProblems with short-term memoryDecrease in breast tissueLower sex drive (libido) and sexual responseIncreased risk for bone loss (osteoporosis)Urinary system changes, such as frequency and urgency of urination and increased risk for urinary tract infectionLoss of tone in the pubic muscles, resulting in the vagina, uterus, or urinary bladder falling out of position (prolapse)MANAGING CHANGESHormone therapy with estrogen or progesterone, alone or in combination, may help menopause symptoms such as hot flashes or vaginal dryness and pain with intercourse. Most women who have a uterus will require progesterone as well as estrogen. Women without a uterus may take estrogen only. Hormone therapy has risks, so it is not for every woman. Discuss the risks and benefits of hormone therapy with your provider.To help manage problems such as painful sexual intercourse, use a lubricant during sexual intercourse. Vaginal moisturizers are available without a prescription. These can help with vaginal and vulvar discomfort due to the drying and thinning of tissues. Applying topical estrogen inside the vagina may help thicken the vaginal tissues and increase moisture and sensitivity. Your provider can tell you if any of these measures is right for you.Getting regular exercise, eating healthy foods, and staying involved in activities with friends and loved ones can help the aging process go more smoothly.OTHER CHANGESOther aging changes to expect:Hormone productionOrgans, tissues, and cellsBreastsKidneys",
Aging changes in the heart and blood vessels,"Some changes in the heart and blood vessels normally occur with age. However, many other changes that are common with aging are due to or worsened by modifiable factors. If not treated, these can lead to heart disease.BACKGROUNDThe heart has two sides. The right side pumps blood to the lungs to receive oxygen and get rid of carbon dioxide. The left side pumps oxygen-rich blood to the body.Blood flows out of the heart, first through the aorta, and then through arteries, which branch out and get smaller and smaller as they go into the tissues. In the tissues, they become tiny capillaries.Capillaries are where the blood gives up (releases) oxygen and nutrients to the tissues, and receives carbon dioxide and wastes back from the tissues. Then, the vessels begin to collect together into larger and larger veins, which return blood to the heart.Watch this video about:Blood flowAGING CHANGESHeart: The heart has a natural pacemaker system that controls the heartbeat. Some of the pathways of this system may develop fibrous tissue and fat deposits. The natural pacemaker (the sinoatrial or SA node) loses some of its cells. These changes may result in a slightly slower heart rate.A slight increase in the size of the heart, especially the left ventricle occurs in some people. The heart wall thickens, so the amount of blood that the chamber can hold may actually decrease despite the increased overall heart size. The heart may fill more slowly.Heart changes often cause the electrocardiogram (ECG) of a normal, healthy older person to be slightly different than the ECG of a healthy younger adult. Abnormal rhythms (arrhythmias), such as atrial fibrillation, are more common in older people. They may be caused by several types of heart disease.Normal changes in the heart include deposits of the ""aging pigment,"" lipofuscin. The heart muscle cells degenerate slightly. The valves inside the heart, which control the direction of blood flow, thicken and become stiffer. A heart murmur caused by valve stiffness is fairly common in older people. Blood vessels: Receptors called baroreceptors monitor the blood pressure and make changes to help maintain a fairly constant blood pressure when a person changes positions or is doing other activities. The baroreceptors become less sensitive with aging. This may explain why many older people have orthostatic hypotension, a condition in which the blood pressure falls when a person goes from lying or sitting to standing. This causes dizziness because there is less blood flow to the brain.The capillary walls thicken slightly. This may cause a slightly slower rate of exchange of nutrients and wastes.The main artery from the heart (aorta) becomes thicker, stiffer, and less flexible. This is probably related to changes in the connective tissue of the blood vessel wall. This makes the blood pressure higher and makes the heart work harder, which may lead to thickening of the heart muscle (hypertrophy). The other arteries also thicken and stiffen. In general, most older people have a moderate increase in blood pressure. Blood: The blood itself changes slightly with age. Normal aging causes a reduction in total body water. As part of this, there is less fluid in the bloodstream, so blood volume decreases.The speed with which red blood cells are produced in response to stress or illness is reduced. This creates a slower response to blood loss and anemia.Most of the white blood cells stay at the same levels, although certain white blood cells important to immunity (neutrophils) decrease in their number and ability to fight off bacteria. This reduces the ability to resist infection. EFFECT OF CHANGESNormally, the heart continues to pump enough blood to supply all parts of the body. However, an older heart may not be able to pump blood as well when you make it work harder.Some of the things that make your heart work harder are:Certain medicinesEmotional stressPhysical exertionIllnessInfectionsInjuries COMMON PROBLEMSAngina (chest pain caused by temporarily reduced blood flow to the heart muscle), shortness of breath with exertion, and heart attack can result from coronary artery disease.Abnormal heart rhythms (arrhythmias) of various types can occur.Anemia may occur, possibly related to malnutrition, chronic infections, blood loss from the gastrointestinal tract, or as a complication of other diseases or medicines.Atherosclerosis (hardening of the arteries) is very common. Fatty plaque deposits inside the blood vessels cause them to narrow and may totally block blood vessels.Congestive heart failure is also very common in older people. In people older than 75, congestive heart failure occurs 10 times more often than in younger adults.Coronary artery disease is fairly common. It is usually a result of atherosclerosis.High blood pressure and orthostatic hypotension are more common with older age. Older people on blood pressure medicines need to work with their doctor to find the best way to manage their high blood pressure. This is because too much medicine may cause low blood pressure and could lead to a fall.Heart valve diseases are fairly common. Aortic stenosis, or narrowing of the aortic valve, is the most common valve disease in older adults.Transient ischemic attacks (TIA) or strokes can occur if blood flow to the brain is disrupted. Other problems with the heart and blood vessels include the following:Blood clotsDeep vein thrombosisThrombophlebitisPeripheral vascular disease, resulting in intermittent pain in the legs when walking (claudication)Varicose veinsAneurysms may develop in one of the major arteries from the heart or in the brain. Aneurysms are an abnormal widening or ballooning of a part of an artery due to weakness in the wall of the blood vessel. If an aneurysm bursts it may cause bleeding and death. PREVENTIONYou can help your circulatory system (heart and blood vessels). Heart disease risk factors that you have some control over include high blood pressure, cholesterol levels, diabetes, obesity, and smoking.Eat a heart-healthy diet with reduced amounts of saturated fat and cholesterol, and control your weight. Follow your health care provider's recommendations for treating high blood pressure, high cholesterol or diabetes. Reduce or stop smoking.Men age 65 to 75 years who have ever smoked should be screened for aneurysms in their abdominal aorta usually with an ultrasound exam. Get more exercise:Exercise may help prevent obesity, and it helps people with diabetes control their blood sugar.Exercise may help you maintain your abilities as much as possible, and it reduces stress.Moderate exercise is one of the best things you can do to keep your heart, and the rest of your body, healthy. Consult with your provider before beginning a new exercise program. Exercise moderately and within your capabilities, but do it regularly.People who exercise often have less body fat and smoke less than people who do not exercise. They also tend to have fewer blood pressure problems and less heart disease. Have regular check-ups for your heart:Have your blood pressure checked every year. If you have diabetes, heart disease, kidney problems, or certain other conditions, your blood pressure may need to be monitored more closely.If your cholesterol level is normal, have it rechecked every 5 years. If you have diabetes, heart disease, kidney problems, or certain other conditions, your cholesterol may need to be monitored more closely.",
Aging changes in the kidneys and bladder,"The kidneys filter the blood and help remove wastes and extra fluid from the body. The kidneys also help control the body's chemical balance. The kidneys are part of the urinary system, which also includes the ureters, bladder, and urethra.Muscle changes and changes in the reproductive system can affect bladder control.AGING CHANGES AND THEIR EFFECTS ON THE KIDNEYS AND BLADDERAs you age, your kidneys and bladder change. This can affect their function.Changes in the kidneys that occur with age:Amount of kidney tissue decreases and kidney function diminishes.Number of filtering units (nephrons) decreases. Nephrons filter waste material from the blood.Blood vessels supplying the kidneys can become hardened. This causes the kidneys to filter blood more slowly. Changes in the bladder:The bladder wall changes. The elastic tissue becomes stiffer and the bladder becomes less stretchy. The bladder cannot hold as much urine as before.The bladder muscles weaken.The urethra can become partially or totally blocked. In women, this can be due to weakened muscles that cause the bladder or vagina to fall out of position (prolapse). In men, the urethra can become blocked by an enlarged prostate gland. In a healthy aging person, kidney function declines very slowly. Illness, medicines, and other conditions can significantly degrade kidney function. COMMON PROBLEMSAging increases the risk of kidney and bladder problems such as:Bladder control issues, such as leakage or urinary incontinence (not being able to hold your urine), or urinary retention (not being able to completely empty your bladder)Bladder and other urinary tract infections (UTIs)Chronic kidney disease WHEN TO CONTACT A MEDICAL PROFESSIONALContact your health care provider right away if you have any of the following:Signs of a urinary tract infection, including fever or chills, burning when urinating, nausea and vomiting, extreme tiredness, or flank painVery dark urine or fresh blood in the urineTrouble urinatingUrinating more often than usual (polyuria)Sudden need to urinate (urinary urgency) As you grow older, you will have other changes, including: In the bones, muscles, and jointsIn the male reproductive systemIn the female reproductive systemIn organs, tissues, and cells",
Aging changes in the lungs,"The lungs have two main functions. One is to get oxygen from the air into the body. The other is to remove carbon dioxide from the body. Your body needs oxygen to work properly. Carbon dioxide is a gas your body produces when it uses oxygen.Watch this video about:BreathingDuring breathing, air enters and exits the lungs. When you breathe in (inhale), air flows through the airways into the lungs. The airways are made of stretchy tissue. Bands of muscle and other support tissue wrap around each airway to help keep them open.Air keeps flowing into the lungs until it fills tiny air sacs called alveoli. Blood circulates around these air sacs through tiny blood vessels called capillaries. Oxygen crosses into the bloodstream at the place where the blood vessels and air sacs meet. This is also where carbon dioxide crosses from the bloodstream into the lungs to be breathed out (exhaled).Watch this video about:Gas exchangeAGING CHANGES IN YOUR BODY AND THEIR EFFECTS ON THE LUNGSChanges to the bones and muscles of the chest and spine:Bones become thinner and change shape. This can change the shape of your ribcage. As a result, your ribcage may not expand and contract as well during breathing.The muscle that supports your breathing, the diaphragm, becomes weakened. This weakness may prevent you from breathing enough air in or out. These changes in your bones and muscles may lower the oxygen level in your body. Also, less carbon dioxide may be removed from your body. Symptoms such as tiredness and shortness of breath can result.Changes to lung tissue:Muscles and other tissues that are near your airways may lose their ability to keep the airways completely open. This causes the airways to close easily.Aging also causes the air sacs to lose their shape and become baggy. These changes in lung tissue can allow air to get trapped in your lungs. Too little oxygen may enter your blood vessels and less carbon dioxide may be removed. This makes it hard to breathe.Changes to the nervous system:The part of the brain that controls breathing may lose some of its function. When this happens, your lungs are not able to get enough oxygen. Not enough carbon dioxide may leave the lungs. Breathing may get more difficult.Nerves in your airways that trigger coughing become less sensitive. Large amounts of particles like smoke or germs may collect in the lungs and may be hard to cough up. Changes to the immune system: Your immune system can get weaker. This means your body is less able to fight lung infections and other diseases.Your lungs are also less able to recover after exposure to smoke or other harmful particles. COMMON PROBLEMSAs a result of these changes, older people are at increased risk for:Lung infections, such as pneumonia and bronchitisShortness of breathLow oxygen levelAbnormal breathing patterns, resulting in problems such as sleep apnea (episodes of stopped breathing during sleep) PREVENTIONTo decrease the effects of aging on the lungs:Do not smoke. Avoid exposure to cigarette smoke. Smoking and smoke exposure harm the lungs and speeds up lung aging.Do physical exercise to improve lung function.Get up and move. Lying in bed or sitting for long periods allows mucus to collect in the lungs. This puts you at risk of lung infections. This is especially true right after surgery or when you are ill. OTHER CHANGES RELATED TO AGINGAs you grow older, you will have other changes, including: In organs, tissues, and cellsIn the bones, muscles, and jointsIn the heart and blood vesselsIn vital signs",
Aging changes in the male reproductive system,"Aging changes in the male reproductive system may include changes in testicular tissue, sperm production, and erectile function. These changes usually occur gradually.",Andropause; Male reproductive changes
Aging changes in the nervous system,"The brain and nervous system are your body's central control center. They control your body's: MovementsSensesThoughts and memories They also help control the organs such as your heart and bowels.Nerves are the pathways that carry signals to and from your brain and the rest of your body. The spinal cord is the bundle of nerves that runs from your brain down the center of your back. Nerves extend out from the spinal cord to every part of your body. AGING CHANGES AND THEIR EFFECTS ON THE NERVOUS SYSTEM As you age, your brain and nervous system go through natural changes. Your brain and spinal cord lose nerve cells and weight (atrophy). Nerve cells may begin to pass messages more slowly than in the past. Waste products or other chemicals such as beta amyloid can collect in the brain tissue as nerve cells break down. This can cause abnormal changes in the brain called plaques and tangles to form. A fatty brown pigment (lipofuscin) can also build up in nerve tissue.Breakdown of nerves can affect your senses. You might have reduced or lost reflexes or sensation. This leads to problems with movement and safety and makes it more likely to suffer falls.Slowing of thought, memory, and thinking is a normal part of aging. These changes are not the same in everyone. Some people have many changes in their nerves and brain tissue. Others have few changes. These changes are not always related to the effects on your ability to think. NERVOUS SYSTEM PROBLEMS IN OLDER PEOPLEDementia and severe memory loss are not a normal part of aging. They can be caused by brain diseases such as Alzheimer disease, which doctors believe is associated with plaques and tangles forming in the brain.Delirium is sudden confusion that leads to changes in thinking and behavior. It is often due to illnesses that are not related to the brain. Infection can cause an older person to become severely confused. Certain medicines can also cause or complicate this.Thinking and behavior problems can also be caused by poorly controlled diabetes. Rising and falling blood sugar levels can interfere with thought.Talk with your health care provider if you have any changes in: MemoryThoughtAbility to perform a task Seek medical help right away if these symptoms occur suddenly or along with other symptoms. A change in thinking, memory, or behavior is important if it is different from your normal patterns or it affects your lifestyle. PREVENTION Mental and physical exercise can help your brain stay sharp. Mental exercises include: ReadingDoing crossword puzzlesStimulating conversation Physical exercise promotes blood flow to your brain. It also helps reduce loss of brain cells. OTHER CHANGESAs you grow older, you will have other changes, including: In organs, tissues, and cellsIn the heart and blood vesselsIn the vital signsIn the senses",
